series_id,method,serial_number,hardness_scale_raw,hardness_scale,hardness_level,applied_force_n,ball_diameter_mm,magnification,n_positions,excel_rows,picture_ids,manual_dimension_mean_from_individual_um,manual_dimension_sd_from_individual_um,manual_hardness_mean_from_individual,manual_hardness_sd_from_individual,manual_series_mean_dimension_um,manual_series_mean_hardness,manual_expanded_uncertainty,manual_relative_expanded_uncertainty,automatic_dimension_mean_from_individual_um,automatic_dimension_sd_from_individual_um,automatic_hardness_mean_from_individual,automatic_hardness_sd_from_individual,automatic_series_mean_dimension_um,automatic_series_mean_hardness,automatic_expanded_uncertainty,automatic_relative_expanded_uncertainty,manual_standard_uncertainty,automatic_standard_uncertainty,en_numerator,en_denominator,en,abs_en,en_classification
Brinell|SN=8301-50DW|scale=HBW 10/3000|F=29430N|ball=10mm|mag=20X,Brinell,8301-50DW,HBW 10/3000,HBW 10/3000,10,29430.0,10.0,20X,3,"36,37,38",,2649.166333333333,6.418227682415943,534.7196666666666,2.6333196413146553,2649.166333333333,534.7196666666666,52.634039572449204,9.843296002288279,2655.991833333333,7.5571527431523995,531.9259999999999,3.0861006140435494,2655.991833333333,531.9259999999999,61.54458207952355,11.570139846430436,26.317019786224602,30.772291039761775,-2.793666666666695,80.98195913323757,-0.03449739542692893,0.03449739542692893,satisfactory screening result
Brinell|SN=8301-50DW|scale=HBW 10/500|F=4905N|ball=10mm|mag=10X,Brinell,8301-50DW,HBW 10/500,HBW 10/500,10,4905.0,10.0,10X,3,"27,28,29",,1204.3738333333333,1.33009833596361,437.43266666666665,0.9707740897517563,1204.3738333333333,437.43266666666665,10.303720231250193,2.3554985753045865,1239.9103333333335,21.39485866588835,412.87000000000006,14.112293612308395,1239.9103333333335,412.87000000000006,134.7276550532463,32.63197981283365,5.151860115625096,67.36382752662315,-24.562666666666587,135.12108527816966,-0.1817826330812854,0.1817826330812854,satisfactory screening result
Micro-Vickers|SN=706-437|scale=HV 0.5|F=4.905N|mag=50X,Micro-Vickers,706-437,"HV 0,5",HV 0.5,0.5,4.905,,50X,3,"15,16,17",706-437_307_HMV_0.5_1_50X,53.95683333333333,0.19602061966367854,318.5756666666667,2.2664380276842713,53.95683333333333,318.5756666666667,4.469145372714786,1.4028520820427128,54.00133333333334,0.2255157052919696,317.8966666666667,2.6460849066749956,54.00133333333334,317.8966666666667,4.491286639951948,1.4128133795946107,2.234572686357393,2.245643319975974,-0.6789999999999736,6.3360015818076345,-0.10716537728613663,0.10716537728613663,satisfactory screening result
Micro-Vickers|SN=706-437|scale=HV 1|F=9.81N|mag=50X,Micro-Vickers,706-437,HV 1,HV 1,1,9.81,,50X,3,"30,31,32",706-437_307_HMV_1_1_50X; 706-437_307_HMV_1_2_50X,76.676,1.031269727084048,315.334,8.286492442523539,76.676,315.334,6.354175917809066,2.015062098539665,76.3145,1.1524466365086135,318.487,9.592339495660074,76.3145,318.487,6.8887114116448265,2.162949009424192,3.177087958904533,3.4443557058224132,3.15300000000002,9.371760587391803,0.336436251288992,0.336436251288992,satisfactory screening result
Micro-Vickers|SN=706-437|scale=HV 2|F=19.62N|mag=20X,Micro-Vickers,706-437,HV 2,HV 2,2,19.62,,20X,3,"45,46,47",706-437_307_HMV_2_1_50X,108.05383333333333,0.47771234371045374,317.59700000000004,2.8032830752530247,108.05383333333333,317.59700000000004,4.417476962911064,1.3909063885713857,108.08016666666667,0.4751016557888797,317.443,2.783143726076678,108.08016666666667,317.443,4.408613292145885,1.388788945462929,2.208738481455532,2.2043066460729426,-0.1540000000000532,6.2409914178386225,-0.02467556669920665,0.02467556669920665,satisfactory screening result
Micro-Vickers|SN=709-293|scale=HV 0.5|F=4.905N|mag=50X,Micro-Vickers,709-293,"HV 0,5",HV 0.5,0.5,4.905,,50X,3,"24,25,26",709-293_904_HMV_0.5_1_50X,30.72733333333333,0.10140307358918339,981.8373333333334,6.496384327711304,30.72733333333333,981.8373333333334,16.279899392104884,1.6581055577541237,30.750333333333334,0.2257013144253549,980.475,14.466122597296083,30.750333333333334,980.475,16.529554309333722,1.6858720833609957,8.139949696052442,8.264777154666861,-1.3623333333333676,23.200458829132454,-0.05872010305342353,0.05872010305342353,satisfactory screening result
Micro-Vickers|SN=709-293|scale=HV 1|F=9.81N|mag=50X,Micro-Vickers,709-293,HV 1,HV 1,1,9.81,,50X,3,"39,40,41",709-293_904_HMV_1_1_50X,45.110833333333325,0.10459724343085439,911.0723333333334,4.222866838219421,45.110833333333325,911.0723333333334,13.229961006095005,1.4521306950119588,44.38583333333333,0.2776735193231989,941.148,11.713683920953292,44.38583333333333,941.148,14.22145419743439,1.5110752185027638,6.614980503047502,7.110727098717195,30.07566666666662,19.423738767614193,1.5483974031205938,1.5483974031205938,result requiring investigation
Micro-Vickers|SN=709-293|scale=HV 2|F=19.62N|mag=50X,Micro-Vickers,709-293,HV 2,HV 2,2,19.62,,50X,3,"54,55,56",709-293_904_HMV_2_1_50X,63.25816666666666,0.39975940681031397,926.7043333333332,11.711011157595758,63.25816666666666,926.7043333333332,13.440582178867457,1.450363583660174,63.17466666666667,0.608508901605666,929.244,17.9370003345041,63.17466666666667,929.244,14.965247117476776,1.6104755174611594,6.720291089433728,7.482623558738388,2.5396666666667898,20.114866904705995,0.1262581889653279,0.1262581889653279,satisfactory screening result
Micro-Vickers|SN=710-106|scale=HV 0.5|F=4.905N|mag=50X,Micro-Vickers,710-106,"HV 0,5",HV 0.5,0.5,4.905,,50X,3,"21,22,23",710-106_708_HMV_0.5_1_50X,35.11633333333334,0.17919984188981528,751.7683333333333,7.70623451066302,35.11633333333334,751.7683333333333,11.976605747516862,1.5931245327151133,35.00333333333334,0.28565947093232164,756.6909999999999,12.301668667298756,35.00333333333334,756.6909999999999,12.338456320805955,1.6305805567670233,5.988302873758431,6.1692281604029775,4.922666666666601,17.195249041868813,0.2862806263916487,0.2862806263916487,satisfactory screening result
Micro-Vickers|SN=710-106|scale=HV 1|F=9.81N|mag=50X,Micro-Vickers,710-106,HV 1,HV 1,1,9.81,,50X,3,"36,37,38",710-106_708_HMV_1_1_50X,50.34966666666667,0.3119584641155506,731.3916666666668,9.057909931840463,50.34966666666667,731.3916666666668,10.794704109889008,1.4759129207864923,50.0255,0.29729446681699556,740.9113333333333,8.818569970994927,50.0255,740.9113333333333,10.90112702575511,1.4713133050227931,5.397352054944504,5.450563512877555,9.51966666666658,15.341453883244023,0.6205191984485894,0.6205191984485894,satisfactory screening result
