pair_mean,difference,manual,automatic,method,representation,source_index,series_id,magnification,hardness_scale,hardness_level,applied_force_n,ball_diameter_mm,serial_number
3813.5032499999998,0.37418350174475085,3806.3685,3820.638,Brinell,relative_percent,144,Brinell|SN=810-202|scale=HBW 10/3000|F=29430N|ball=10mm|mag=20X,20X,HBW 10/3000,10,29430.0,10.0,810-202
3821.081,1.026646647898849,3801.4665,3840.6955,Brinell,relative_percent,145,Brinell|SN=810-202|scale=HBW 10/3000|F=29430N|ball=10mm|mag=20X,20X,HBW 10/3000,10,29430.0,10.0,810-202
3808.39075,0.07747366784776273,3806.9155,3809.866,Brinell,relative_percent,146,Brinell|SN=810-202|scale=HBW 10/3000|F=29430N|ball=10mm|mag=20X,20X,HBW 10/3000,10,29430.0,10.0,810-202
2659.7875,0.24156065099186239,2656.575,2663.0,Brinell,relative_percent,147,Brinell|SN=8301-50DW|scale=HBW 10/3000|F=29430N|ball=10mm|mag=20X,20X,HBW 10/3000,10,29430.0,10.0,8301-50DW
2651.1435,0.4410926832138473,2645.2965000000004,2656.9905,Brinell,relative_percent,148,Brinell|SN=8301-50DW|scale=HBW 10/3000|F=29430N|ball=10mm|mag=20X,20X,HBW 10/3000,10,29430.0,10.0,8301-50DW
2646.8062499999996,0.08906960983636858,2645.6275,2647.9849999999997,Brinell,relative_percent,149,Brinell|SN=8301-50DW|scale=HBW 10/3000|F=29430N|ball=10mm|mag=20X,20X,HBW 10/3000,10,29430.0,10.0,8301-50DW
5.354888452357919,0.006544108517263503,210.949,212.334,Brinell,log_ratio,114,Brinell|SN=293-250|scale=HBW 1/5|F=49.05N|ball=1mm|mag=20X,20X,HBW 1/5,1,49.05,1.0,293-250
5.355543223361217,0.004396088853471092,211.31400000000002,212.245,Brinell,log_ratio,115,Brinell|SN=293-250|scale=HBW 1/5|F=49.05N|ball=1mm|mag=20X,20X,HBW 1/5,1,49.05,1.0,293-250
5.347558615758482,0.009257694737754285,209.1245,211.0695,Brinell,log_ratio,116,Brinell|SN=293-250|scale=HBW 1/5|F=49.05N|ball=1mm|mag=20X,20X,HBW 1/5,1,49.05,1.0,293-250
5.043874080795023,0.005768369370039217,154.623,155.51749999999998,Brinell,log_ratio,117,Brinell|SN=294-367|scale=HBW 1/5|F=49.05N|ball=1mm|mag=20X,20X,HBW 1/5,1,49.05,1.0,294-367
5.043507484260406,0.0034642290455595415,154.74450000000002,155.2815,Brinell,log_ratio,118,Brinell|SN=294-367|scale=HBW 1/5|F=49.05N|ball=1mm|mag=20X,20X,HBW 1/5,1,49.05,1.0,294-367
5.040639851017268,0.0024455109911203365,154.38,154.75799999999998,Brinell,log_ratio,119,Brinell|SN=294-367|scale=HBW 1/5|F=49.05N|ball=1mm|mag=20X,20X,HBW 1/5,1,49.05,1.0,294-367
4.759304146764398,0.012514413280812597,115.937,117.39699999999999,Brinell,log_ratio,120,Brinell|SN=290-736|scale=HBW 1/5|F=49.05N|ball=1mm|mag=20X,20X,HBW 1/5,1,49.05,1.0,290-736
