method,original_sheet,excel_row,serial_number,hardness_scale_raw,position,applied_force_n,magnification_raw,manual_d1_um,manual_d2_um,manual_mean_dimension_um,manual_series_mean_dimension_um,manual_hardness,manual_series_mean_hardness,manual_expanded_uncertainty,manual_relative_expanded_uncertainty,automatic_d1_um,automatic_d2_um,automatic_mean_dimension_um,automatic_series_mean_dimension_um,automatic_hardness,automatic_series_mean_hardness,automatic_expanded_uncertainty,automatic_relative_expanded_uncertainty,picture_id,magnification,hardness_scale,hardness_level,ball_diameter_mm,series_id,record_id
Vickers,Vickers,45,221-101,HV 50,1.0,490.5,20X,321.971,321.549,321.76,321.80333333333334,895.5,895.3000000000001,10.299913222382063,1.1504426697623211,321.004,320.734,320.869,321.24916666666667,900.5,898.3666666666667,11.139197509649073,1.2399388716169055,,20X,HV 50,50,,Vickers|SN=221-101|scale=HV 50|F=490.5N|mag=20X,Vickers|221-101|HV 50|1|row45
Vickers,Vickers,46,221-101,HV 50,2.0,490.5,20X,321.852,322.044,321.948,,894.5,,,,321.677,321.204,321.44050000000004,,897.3,,,,,20X,HV 50,50,,Vickers|SN=221-101|scale=HV 50|F=490.5N|mag=20X,Vickers|221-101|HV 50|2|row46
Vickers,Vickers,47,221-101,HV 50,3.0,490.5,20X,321.762,321.642,321.702,,895.9,,,,321.678,321.198,321.438,,897.3,,,,,20X,HV 50,50,,Vickers|SN=221-101|scale=HV 50|F=490.5N|mag=20X,Vickers|221-101|HV 50|3|row47
Vickers,Vickers,48,293-250,HV 100,1.0,981.0,20X,1066.623,1071.264,1068.9434999999999,1069.2361666666668,162.3,162.20000000000002,7.783484703767622,4.798695871619988,1066.977,1071.568,1069.2725,1069.5240000000001,162.2,162.13333333333333,7.740602163803215,4.774220084582575,,20X,HV 100,100,,Vickers|SN=293-250|scale=HV 100|F=981N|mag=20X,Vickers|293-250|HV 100|1|row48
Vickers,Vickers,49,293-250,HV 100,2.0,981.0,20X,1072.357,1072.534,1072.4455,,161.2,,,,1072.775,1072.623,1072.699,,161.2,,,,,20X,HV 100,100,,Vickers|SN=293-250|scale=HV 100|F=981N|mag=20X,Vickers|293-250|HV 100|2|row49
Vickers,Vickers,50,293-250,HV 100,3.0,981.0,20X,1064.814,1067.825,1066.3195,,163.1,,,,1065.147,1068.054,1066.6005,,163.0,,,,,20X,HV 100,100,,Vickers|SN=293-250|scale=HV 100|F=981N|mag=20X,Vickers|293-250|HV 100|3|row50
Vickers,Vickers,51,294-367,HV 100,1.0,981.0,20X,781.723,781.85,781.7864999999999,781.4813333333332,303.4,303.6666666666667,3.4297305030488667,1.1294392435945773,781.777,782.076,781.9265,781.7035,303.3,303.5,3.3930863802520514,1.1179856277601488,,20X,HV 100,100,,Vickers|SN=294-367|scale=HV 100|F=981N|mag=20X,Vickers|294-367|HV 100|1|row51
Vickers,Vickers,52,294-367,HV 100,2.0,981.0,20X,780.178,782.457,781.3175,,303.8,,,,781.035,782.443,781.739,,303.5,,,,,20X,HV 100,100,,Vickers|SN=294-367|scale=HV 100|F=981N|mag=20X,Vickers|294-367|HV 100|2|row52
Vickers,Vickers,53,294-367,HV 100,3.0,981.0,20X,780.459,782.221,781.3399999999999,,303.8,,,,780.912,781.978,781.4449999999999,,303.7,,,,,20X,HV 100,100,,Vickers|SN=294-367|scale=HV 100|F=981N|mag=20X,Vickers|294-367|HV 100|3|row53
Vickers,Vickers,54,294-481,HV 100,1.0,981.0,20X,605.403,606.456,605.9295,605.7116666666667,505.1,505.4666666666667,7.689477957589094,1.5212631147960487,605.16,606.295,605.7275,605.5448333333334,505.4,505.7333333333333,8.955038972727902,1.7707037251637032,,20X,HV 100,100,,Vickers|SN=294-481|scale=HV 100|F=981N|mag=20X,Vickers|294-481|HV 100|1|row54
Vickers,Vickers,55,294-481,HV 100,2.0,981.0,20X,605.952,606.62,606.2860000000001,,504.5,,,,606.088,606.642,606.365,,504.4,,,,,20X,HV 100,100,,Vickers|SN=294-481|scale=HV 100|F=981N|mag=20X,Vickers|294-481|HV 100|2|row55
Vickers,Vickers,56,294-481,HV 100,3.0,981.0,20X,604.529,605.31,604.9195,,506.8,,,,604.142,604.942,604.542,,507.4,,,,,20X,HV 100,100,,Vickers|SN=294-481|scale=HV 100|F=981N|mag=20X,Vickers|294-481|HV 100|3|row56
Vickers,Vickers,57,216-610,HV 100,1.0,981.0,20X,511.016,511.678,511.347,511.2326666666666,709.2,709.5333333333334,8.526854713149053,1.2017553386943134,511.311,511.273,511.29200000000003,511.089,709.4,709.9666666666666,8.763612196397379,1.2343695285784373,,20X,HV 100,100,,Vickers|SN=216-610|scale=HV 100|F=981N|mag=20X,Vickers|216-610|HV 100|1|row57
Vickers,Vickers,58,216-610,HV 100,2.0,981.0,20X,510.923,510.777,510.85,,710.6,,,,510.818,510.467,510.6425,,711.2,,,,,20X,HV 100,100,,Vickers|SN=216-610|scale=HV 100|F=981N|mag=20X,Vickers|216-610|HV 100|2|row58
Vickers,Vickers,59,216-610,HV 100,3.0,981.0,20X,511.452,511.55,511.501,,708.8,,,,511.357,511.308,511.3325,,709.3,,,,,20X,HV 100,100,,Vickers|SN=216-610|scale=HV 100|F=981N|mag=20X,Vickers|216-610|HV 100|3|row59
Vickers,Vickers,60,221-101,HV 100,1.0,981.0,20X,455.893,456.194,456.0435,456.06749999999994,891.7,891.6,10.001462902678426,1.1217432596095138,455.915,456.254,456.08450000000005,455.9176666666667,891.5,892.1666666666666,10.025307036011423,1.1237033853179252,,20X,HV 100,100,,Vickers|SN=221-101|scale=HV 100|F=981N|mag=20X,Vickers|221-101|HV 100|1|row60
Vickers,Vickers,61,221-101,HV 100,2.0,981.0,20X,455.818,456.02,455.919,,892.2,,,,456.009,455.49,455.7495,,892.8,,,,,20X,HV 100,100,,Vickers|SN=221-101|scale=HV 100|F=981N|mag=20X,Vickers|221-101|HV 100|2|row61
Vickers,Vickers,62,221-101,HV 100,3.0,981.0,20X,456.126,456.354,456.24,,890.9,,,,455.607,456.231,455.919,,892.2,,,,,20X,HV 100,100,,Vickers|SN=221-101|scale=HV 100|F=981N|mag=20X,Vickers|221-101|HV 100|3|row62
