series_id,method,source,serial_number,hardness_scale,hardness_level,applied_force_n,ball_diameter_mm,magnification,n,mean_dimension_um,sd_dimension_um,cv_percent,range_dimension_um,mean_d1_minus_d2_um,mean_abs_d1_minus_d2_um
Micro-Vickers|SN=711-081|scale=HV 2|F=19.62N|mag=20X,Micro-Vickers,automatic,711-081,HV 2,2,19.62,,20X,3,189.65833333333333,1.455955900202105,0.7676730437376537,2.7874999999999943,1.5853333333333428,1.5853333333333428
Micro-Vickers|SN=711-246|scale=HV 0.5|F=4.905N|mag=50X,Micro-Vickers,manual,711-246,HV 0.5,0.5,4.905,,50X,3,42.603,0.2510717029057631,0.5893286925938621,0.4660000000000011,0.06066666666666739,0.10733333333333424
Micro-Vickers|SN=711-246|scale=HV 0.5|F=4.905N|mag=50X,Micro-Vickers,automatic,711-246,HV 0.5,0.5,4.905,,50X,3,42.79433333333333,0.3868463303862852,0.9039662503282021,0.7025000000000077,-0.14133333333333553,0.3193333333333328
Micro-Vickers|SN=711-246|scale=HV 1|F=9.81N|mag=50X,Micro-Vickers,manual,711-246,HV 1,1,9.81,,50X,3,60.518,0.4121701711672004,0.6810703776846564,0.8194999999999979,0.5120000000000005,0.7646666666666656
Micro-Vickers|SN=711-246|scale=HV 1|F=9.81N|mag=50X,Micro-Vickers,automatic,711-246,HV 1,1,9.81,,50X,3,60.276999999999994,0.5592139572650175,0.9277401948753549,0.9830000000000041,0.35999999999999704,0.6153333333333322
Micro-Vickers|SN=711-246|scale=HV 2|F=19.62N|mag=50X,Micro-Vickers,manual,711-246,HV 2,2,19.62,,50X,3,84.92666666666666,0.22054780283043993,0.2596920513742522,0.382000000000005,-0.0799999999999983,0.14666666666666117
Micro-Vickers|SN=711-246|scale=HV 2|F=19.62N|mag=50X,Micro-Vickers,automatic,711-246,HV 2,2,19.62,,50X,3,84.86416666666668,0.2616420901409641,0.3083069102282637,0.4724999999999966,-0.14366666666666106,0.20366666666666333
Vickers|SN=216-610|scale=HV 100|F=981N|mag=20X,Vickers,manual,216-610,HV 100,100,981.0,,20X,3,511.2326666666666,0.3402268850830516,0.06655030229218235,0.6509999999999536,-0.20466666666665864,0.302000000000002
Vickers|SN=216-610|scale=HV 100|F=981N|mag=20X,Vickers,automatic,216-610,HV 100,100,981.0,,20X,3,511.089,0.3872102142247913,0.07576179769566382,0.6899999999999977,0.14599999999999605,0.14599999999999605
Vickers|SN=216-610|scale=HV 20|F=196.2N|mag=20X,Vickers,manual,216-610,HV 20,20,196.2,,20X,3,227.45366666666666,0.39907841752383433,0.17545481828115952,0.7264999999999873,0.4233333333333273,0.4233333333333273
Vickers|SN=216-610|scale=HV 20|F=196.2N|mag=20X,Vickers,automatic,216-610,HV 20,20,196.2,,20X,3,227.16983333333334,0.48426705786510826,0.21317401644369222,0.914999999999992,-0.3723333333333301,0.48766666666666464
